id,coordinates
9568,"38.554024,-121.428114"
7404,"37.253668,-121.952564"
14017,"35.310906,-120.82825"
15628,"34.071578,-117.204127"
1006830,"34.0705108642578,-117.139190673828"
11105,"34.380108,-118.539781"
8833,"33.671397,-117.86464"
1005459,"33.6373672485352,-117.862060546875"
7114,"37.731871,-122.13968"
15555,"33.699611,-117.865308"
12419,"33.686738,-117.855745"
16566,"37.744509,-122.452714"
7136,"38.473704,-121.429963"
89061,"33.690252,-117.889883"
18195,"33.914662883282,-117.88732992343"
10624,"37.786551,-122.40824"
1006386,"34.1108627319336,-117.53018951416"
91306,"37.8949813842773,-122.057960510254"
12208,"38.663848,-121.307666"
8269,"38.664536,-121.243991"
8241,"33.555535,-117.199158"
10397,"38.660067,-121.326473"
15892,"34.051238,-118.25743"
14774,"35.263138,-120.676639"
10282,"34.423145,-118.578877"
11838,"32.855487,-116.971507"
13441,"33.855662,-117.562208"
7377,"33.76714,-117.97272"
15557,"33.911361,-117.46149"
11792,"33.71582,-117.970847"
9129,"37.779867,-121.971581"
15173,"34.094744,-118.128132"
10594,"36.690941,-121.652986"
17033,"34.03948,-118.261337"
17753,"34.048734,-118.254406"
15177,"36.719695,-121.655533"
11533,"37.896576,-122.06005"
13840,"34.420791,-117.294001"
14726,"34.280992,-119.291395"
16590,"36.330314,-119.29245"
15431,"37.898087,-122.06009"
10451,"37.493082,-120.874291"
8222,"34.890842,-116.999307"
17624,"40.158323999768,-122.227879"
15194,"32.795115,-116.962754"
91231,"34.0458831787109,-118.251289367676"
7374,"34.426896,-117.376488"
14779,"38.017536,-122.136373"
15728,"36.916672,-121.773008"
1006996,"38.6766738891602,-121.74626159668"
12528,"40.410457,-120.636086"
15162,"36.658075,-121.659412"
14486,"37.369932,-118.395656"
16851,"33.777141,-117.866825"
15468,"37.927435,-122.061127"
16326,"39.4349,-123.80579"
8245,"33.937207,-117.557051"
15622,"37.3012351989746,-120.482307434082"
9034,"34.001127,-118.482494"
9027,"34.035196,-118.685088"
18220,"34.034313,-118.693126"
17350,"34.473696,-117.347932"
18703,"37.63334,-118.971535"
8808,"34.176228,-119.215753"
16376,"33.885188,-118.409891"
8239,"36.603015,-119.460394"
11612,"38.637533,-121.329612"
15813,"37.797711,-122.401101"
8093,"37.983864,-121.346664"
7473,"37.999772,-121.289487"
17768,"33.554134,-117.670731"
15945,"37.71163,-122.162478"
11307,"33.985986,-118.443085"
15997,"33.761342,-118.114308"
6863,"32.74339,-117.198209"
13383,"37.762911,-122.410427"
13881,"37.77663,-122.41741"
16642,"33.757371,-116.391563"
9031,"37.787458,-122.40131"
15048,"33.678392,-117.849879"
12628,"33.946481,-118.384511"
14475,"33.616652,-117.879945"
17845,"38.606717,-121.268371"
12431,"32.708125,-117.16575"
6972,"37.601194,-122.370241"
17724,"37.785141,-122.404703"
17747,"33.835783,-118.349965"
14240,"34.178498,-118.603603"
9227,"37.478685,-122.185903"
14841,"36.75789,-119.80156"
12668,"37.378644,-122.046436"
16589,"37.77573,-122.446276"
16802,"37.388271,-122.030288"
13323,"34.445477,-118.553231"
9209,"37.428336,-121.92099"
66227,"34.237512,-116.060167"
15016,"37.671468,-120.99577"
10946,"33.887347,-117.520937"
11347,"32.614735,-117.0262"
11488,"34.083427,-118.356145"
8888,"34.049213,-118.260526"
11051,"33.192251,-117.253852"
19320,"33.146648,-117.241289"
11133,"38.461796,-122.71738"
11709,"37.452207,-122.183881"
11569,"37.389108,-121.983262"
7334,"36.6281,-119.68256"
17686,"32.937694,-117.113636"
8640,"37.292769,-121.913235"
15965,"37.304109,-121.914123"
15894,"33.689561,-117.893546"
12170,"34.027051,-118.501789"
1006845,"32.6606178283691,-117.105499267578"
15797,"37.602957,-122.394614"
14393,"34.075593,-117.558278"
17059,"34.266932,-119.246173"
9127,"37.43478,-121.900493"
90545,"35.334644317627,-119.073234558105"
17701,"35.338443,-119.033491"
16886,"32.915379,-117.120836"
13682,"32.907048,-117.172398"
9125,"32.913849,-117.145956"
7923,"33.775185,-118.137605"
12350,"32.879123,-117.163714"
18469,"37.373152,-122.087828"
11468,"37.672485,-122.086169"
11907,"37.528153,-121.918591"
12669,"33.226605,-117.331428"
7379,"37.557102,-121.95175"
8173,"33.127495,-117.093701"
17315,"37.60842,-122.022928"
1006873,"32.7722625732422,-117.250968933105"
18664,"32.838393,-116.99583"
